id,filename,ident,name,type,frequency_khz,latitude_deg,longitude_deg,elevation_ft,iso_country,dme_frequency_khz,dme_channel,dme_latitude_deg,dme_longitude_deg,dme_elevation_ft,slaved_variation_deg,magnetic_variation_deg,usageType,power,associated_airport
85425,Al_Hoceima_NDB_MA,ALU,Al Hoceima,NDB,401,35.18119812011719,-3.844559907913208,,MA,,,,,,,-2.05,BOTH,HIGH,GMTA
85427,Walla_Walla_VOR-DME_US,ALW,Walla Walla,VOR-DME,116400,46.08700180053711,-118.29299926757812,1150,US,116400,111X,,,,20.001,16.139,LO,MEDIUM,KALW
85437,Almeria_NDB_ES,AM,Almeria,NDB,284,36.87580108642578,-2.2399098873138428,,ES,,,,,,,-1.401,TERMINAL,LOW,LEAM
85443,Amboise_VOR-DME_FR,AMB,Amboise,VOR-DME,113700,47.42890167236328,1.0644400119781494,361,FR,113700,084X,,,,-3.007,-1.212,BOTH,HIGH,LFOT
85446,Amboise_NDB_FR,AMB,Amboise,NDB,341,47.4182014465332,1.0410000085830688,354,FR,,,,,,,-1.215,BOTH,MEDIUM,LFOT
85448,Amendola_NDB_IT,AME,Amendola,NDB,334,41.5,15.837800025939941,,IT,,,,,,,2.221,BOTH,LOW,LIBA
85458,Almeria_NDB_ES,AMN,Almeria,NDB,310,36.8484001159668,-2.379159927368164,,ES,,,,,,,-1.425,LO,MEDIUM,LEAM
85461,Almeria_VOR-DME_ES,AMR,Almeria,VOR-DME,114100,36.83319854736328,-2.2594199180603027,233,ES,114100,088X,36.8331,-2.25944,233,-3.007,-1.404,BOTH,HIGH,LEAM
85462,Amsterdam_VOR-DME_NL,AMS,Amsterdam,VOR-DME,113950,52.332801818847656,4.705560207366943,-7,NL,113950,086Y,,,,,-0.383,TERMINAL,LOW,
85464,Amberieu_TACAN_FR,AMU,Amberieu,TACAN,116300,45.98860168457031,5.331250190734863,801,FR,116300,110X,,,,,0.026,BOTH,HIGH,LFXA
85477,Boing_NDB_US,AN,Boing,NDB,245,32.739898681640625,-117.21600341796875,15,US,,,,,,,12.376,TERMINAL,LOW,KSAN
85481,Annaba_VOR-DME_DZ,ANB,Annaba,VOR-DME,113500,36.81669998168945,7.800000190734863,16,DZ,113500,082X,,,,-2.007,0.471,BOTH,HIGH,DABB
85482,Annaba_NDB_DZ,ANB,Annaba,NDB,366,36.81809997558594,7.802499771118164,,DZ,,,,,,,0.472,BOTH,MEDIUM,DABB
85483,Ancona_VOR-DME_IT,ANC,Ancona,VOR-DME,110650,43.58639907836914,13.471099853515625,842,IT,110650,043Y,,,,1.007,2.004,BOTH,HIGH,LIPY
85485,Ancona_NDB_IT,ANC,Ancona,NDB,375,43.586700439453125,13.472200393676758,,IT,,,,,,,2.004,BOTH,LOW,LIPY
85492,Arlanda_DME_SE,ANE,Arlanda,DME,113300,59.694000244140625,18.059900283813477,108,SE,113300,080X,,,,,4.176,TERMINAL,LOW,
85493,Angers_VOR_FR,ANG,Angers,VOR,113000,47.53689956665039,-0.8518329858779907,283,FR,,,,,,-3.007,-2,BOTH,HIGH,
85504,Ansbach_NDB_DE,ANS,Ansbach,NDB,452,49.30970001220703,10.632800102233887,1526,DE,,,,,,,1.229,LO,LOW,ETEB
85505,Antwerpen_VOR-DME_BE,ANT,Antwerpen,VOR-DME,113500,51.19060134887695,4.472499847412109,78,BE,113500,082X,,,,,-0.364,TERMINAL,LOW,EBAW
85512,Arlanda_DME_SE,ANW,Arlanda,DME,112050,59.71329879760742,17.85260009765625,164,SE,112050,057Y,,,,,4.127,TERMINAL,LOW,
85519,Arco_NDB_US,AOC,Arco,NDB,200,43.5989990234375,-113.34200286865234,5327,US,,,,,,,13.583,LO,LOW,
85520,Rota_TACAN_ES,AOG,Rota,TACAN,108600,36.64789962768555,-6.34906005859375,86,ES,108600,023X,,,,-5.012,-2.559,BOTH,HIGH,LERT
85521,Rota_NDB_ES,AOG,Rota,NDB,268,36.6421012878418,-6.316810131072998,,ES,,,,,,,-2.552,TERMINAL,LOW,LERT
85526,Active_Pass_NDB_CA,AP,Active Pass,NDB,378,48.8739013671875,-123.29000091552734,,CA,,,,,,,18.181,LO,LOW,
85532,Aberporth_NDB_GB,AP,Aberporth,NDB,371,52.11629867553711,-4.559830188751221,,GB,,,,,,,-4.07,TERMINAL,LOW,EGFA
85548,Aberdeen_NDB_GB,AQ,Aberdeen,NDB,336,57.138301849365234,-2.4047200679779053,,GB,,,,,,,-4.162,TERMINAL,LOW,EGPD
85573,Tortoli_NDB_IT,ARB,Tortoli,NDB,289,39.9213981628418,9.678669929504395,22,IT,,,,,,,1.108,TERMINAL,LOW,LIET
85577,Monts_D_Arree_VOR_FR,ARE,Monts D Arree,VOR,112500,48.33259963989258,-3.6024699211120605,588,FR,,,,,,-5.007,-3.048,BOTH,HIGH,
85584,Libby_TACAN_US,ARH,Libby,TACAN,111600,31.585599899291992,-110.33899688720703,4659,US,111600,053X,,,,12.001,10.418,BOTH,LOW,KFHU
85591,Arlanda_VOR-DME_SE,ARL,Arlanda,VOR-DME,116000,59.65340042114258,17.914400100708008,141,SE,116000,107X,,,,3.001,4.138,BOTH,HIGH,ESSA
85593,Armilla_NDB_ES,ARM,Armilla,NDB,344,37.07350158691406,-3.802079916000366,,ES,,,,,,,-2.084,TERMINAL,LOW,LEGA
85596,Arbancon_NDB_ES,ARN,Arbancon,NDB,291,40.96390151977539,-3.122459888458252,,ES,,,,,,,-2.07,LO,MEDIUM,
85598,Aros_VOR-DME_SE,ARS,Aros,VOR-DME,112800,59.58620071411133,16.650400161743164,50,SE,112800,075X,,,,2.001,3.426,RNAV,HIGH,ESOW
85636,Astoria_VOR-DME_US,AST,Astoria,VOR-DME,114000,46.16170120239258,-123.87999725341797,10,US,114000,087X,,,,19.001,17.281,LO,MEDIUM,
85637,Asturias_NDB_ES,AST,Asturias,NDB,325,43.55780029296875,-6.028389930725098,,ES,,,,,,,-3.191,BOTH,MEDIUM,LEAS
85639,Arlanda_DME_SE,ASW,Arlanda,DME,113750,59.58769989013672,17.819700241088867,233,SE,113750,084Y,,,,,4.111,TERMINAL,LOW,
